########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2699	S	0	0	TL_Timer_23
2700	S	0	0	TL_IPC_23
2701	S	0	0	TL_DB_23
2702	S	0	0	TL_Cache_23
2703	S	0	0	TL_Sensor_23
2704	S	0	0	TL_Anim_23
2705	S	0	0	TL_Upload_23
2706	S	0	0	TL_Download_23
2707	S	0	0	TL_Parser_23
2708	S	0	0	TL_Watchdog_23
2709	S	0	0	TL_Event_23
2710	S	0	0	TL_Sync_23
2711	S	0	0	TL_Log_23
2712	S	0	0	TL_Worker_24
2713	S	0	0	TL_IO_24
2714	S	0	0	TL_Net_24
2715	S	0	0	TL_Render_24
2716	S	0	0	TL_Audio_24
2717	S	0	0	TL_Codec_24
2718	S	0	0	TL_GC_24
2719	S	0	0	TL_Timer_24
2720	S	0	0	TL_IPC_24
2721	S	0	0	TL_DB_24
2722	S	0	0	TL_Cache_24
2723	S	0	0	TL_Sensor_24
2724	S	0	0	TL_Anim_24
2725	S	0	0	TL_Upload_24
2726	S	0	0	TL_Download_24
2727	S	0	0	TL_Parser_24
2728	S	0	0	TL_Watchdog_24
2729	S	0	0	TL_Event_24
2730	S	0	0	TL_Sync_24
2731	S	0	0	TL_Log_24
2732	S	0	0	TL_Worker_25
2733	S	0	0	TL_IO_25
2734	S	0	0	TL_Net_25
2735	S	0	0	TL_Render_25
2736	S	0	0	TL_Audio_25
2737	S	0	0	TL_Codec_25
2738	S	0	0	TL_GC_25
2739	S	0	0	TL_Timer_25
2740	S	0	0	TL_IPC_25
2741	S	0	0	TL_DB_25
2742	S	0	0	TL_Cache_25
2743	S	0	0	TL_Sensor_25
2744	S	0	0	TL_Anim_25
2745	S	0	0	TL_Upload_25
2746	S	0	0	TL_Download_25
2747	S	0	0	TL_Parser_25
2748	S	0	0	TL_Watchdog_25
2749	S	0	0	TL_Event_25
2750	S	0	0	TL_Sync_25
2751	S	0	0	TL_Log_25
2752	S	0	0	TL_Worker_26
2753	S	0	0	TL_IO_26
2754	S	0	0	TL_Net_26
2755	S	0	0	TL_Render_26
2756	S	0	0	TL_Audio_26
2757	S	0	0	TL_Codec_26
2758	S	0	0	TL_GC_26
2759	S	0	0	TL_Timer_26
2760	S	0	0	TL_IPC_26
2761	S	0	0	TL_DB_26
