subsystem	component	repository_path	repository	bundle_path	rk3568_selected	adapted_system_types	component_dependency_count	third_party_dependency_count	declared_sub_component_count	inner_kit_count	declared_test_entry_count	gn_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
resourceschedule	frame_aware_sched	foundation/resourceschedule/frame_aware_sched	linux_frame_aware_sched	foundation/resourceschedule/frame_aware_sched/bundle.json	yes	standard	9	0	5	4	1	17	5	5	5	2
resourceschedule	memmgr	foundation/resourceschedule/memmgr	resourceschedule_memmgr	foundation/resourceschedule/memmgr/bundle.json	yes	standard	17	0	6	1	3	32	7	23	2	0
resourceschedule	qos_manager	foundation/resourceschedule/qos_manager	resourceschedule_qos_manager	foundation/resourceschedule/qos_manager/bundle.json	yes	standard	13	0	9	3	2	41	13	22	5	1
resourceschedule	resource_schedule_service	foundation/resourceschedule/resource_schedule_service	resourceschedule_resource_schedule_service	foundation/resourceschedule/resource_schedule_service/bundle.json	yes	standard	41	0	0	10	15	130	42	55	24	9
resourceschedule	soc_perf	foundation/resourceschedule/soc_perf	resourceschedule_soc_perf	foundation/resourceschedule/soc_perf/bundle.json	yes	standard	17	0	0	1	3	53	8	37	4	4
resourceschedule	work_scheduler	foundation/resourceschedule/work_scheduler	resourceschedule_work_scheduler	foundation/resourceschedule/work_scheduler/bundle.json	yes	standard	33	0	0	2	1	112	28	43	26	15
systemabilitymgr	safwk	foundation/systemabilitymgr/safwk	systemabilitymgr_safwk	foundation/systemabilitymgr/safwk/bundle.json	yes	standard	12	0	0	4	2	61	13	26	20	2
systemabilitymgr	safwk_lite	foundation/systemabilitymgr/safwk_lite	systemabilitymgr_safwk_lite	foundation/systemabilitymgr/safwk_lite/bundle.json	no	small	6	2	1	0	0	2	2	0	0	0
systemabilitymgr	samgr	foundation/systemabilitymgr/samgr	systemabilitymgr_samgr	foundation/systemabilitymgr/samgr/bundle.json	yes	standard	24	0	0	4	3	68	11	37	18	2
systemabilitymgr	samgr_lite	foundation/systemabilitymgr/samgr_lite	systemabilitymgr_samgr_lite	foundation/systemabilitymgr/samgr_lite/bundle.json	no	mini,small	7	2	1	1	0	29	18	0	9	2
systemabilitymgr	selectionfwk	foundation/systemabilitymgr/selectionfwk	systemabilitymgr_selectionfwk	foundation/systemabilitymgr/selectionfwk/bundle.json	yes	mini,small,standard	32	0	16	1	2	61	31	9	8	13
window	window_cangjie_wrapper	foundation/window/window_cangjie_wrapper	window_window_cangjie_wrapper	foundation/window/window_cangjie_wrapper/bundle.json	no	standard	7	0	2	3	0	3	2	0	0	1
window	window_manager	foundation/window/window_manager	window_window_manager	foundation/window/window_manager/bundle.json	yes	standard	54	0	0	39	10	988	137	687	107	57
window	window_manager_lite	foundation/window/window_manager_lite	window_window_manager_lite	foundation/window/window_manager_lite/bundle.json	no	small	7	1	2	0	0	9	4	4	1	0
