subsystem	component	part
thirdparty	egl	thirdparty:egl
thirdparty	elfio	thirdparty:elfio
thirdparty	exfatprogs	thirdparty:exfatprogs
thirdparty	expat	thirdparty:expat
thirdparty	f2fs-tools	thirdparty:f2fs-tools
thirdparty	ffmpeg	thirdparty:ffmpeg
thirdparty	flatbuffers	thirdparty:flatbuffers
thirdparty	freetype	thirdparty:freetype
thirdparty	fsverity-utils	thirdparty:fsverity-utils
thirdparty	gptfdisk	thirdparty:gptfdisk
thirdparty	grpc	thirdparty:grpc
thirdparty	harfbuzz	thirdparty:harfbuzz
thirdparty	icu	thirdparty:icu
thirdparty	jerryscript	thirdparty:jerryscript
thirdparty	jsframework	thirdparty:jsframework
thirdparty	json	thirdparty:json
thirdparty	jsoncpp	thirdparty:jsoncpp
thirdparty	lame	thirdparty:lame
thirdparty	libbpf	thirdparty:libbpf
thirdparty	libcoap	thirdparty:libcoap
thirdparty	libdrm	thirdparty:libdrm
thirdparty	libevdev	thirdparty:libevdev
thirdparty	libexif	thirdparty:libexif
thirdparty	libfuse	thirdparty:libfuse
thirdparty	libinput	thirdparty:libinput
thirdparty	libjpeg-turbo	thirdparty:libjpeg-turbo
thirdparty	libnl	thirdparty:libnl
thirdparty	libphonenumber	thirdparty:libphonenumber
thirdparty	libpng	thirdparty:libpng
thirdparty	libtiff	thirdparty:libtiff
thirdparty	libunwind	thirdparty:libunwind
thirdparty	liburing	thirdparty:liburing
thirdparty	libusb	thirdparty:libusb
thirdparty	libuv	thirdparty:libuv
thirdparty	libvpx	thirdparty:libvpx
thirdparty	libwebsockets	thirdparty:libwebsockets
thirdparty	libxml2	thirdparty:libxml2
thirdparty	lz4	thirdparty:lz4
thirdparty	lzma	thirdparty:lzma
thirdparty	mbedtls	thirdparty:mbedtls
thirdparty	meshoptimizer	thirdparty:meshoptimizer
thirdparty	mksh	thirdparty:mksh
thirdparty	mtdev	thirdparty:mtdev
thirdparty	musl	thirdparty:musl
thirdparty	nghttp2	thirdparty:nghttp2
thirdparty	node	thirdparty:node
thirdparty	noto-cjk	thirdparty:noto-cjk
thirdparty	notofonts	thirdparty:notofonts
thirdparty	ntfs-3g	thirdparty:ntfs-3g
thirdparty	opencl-headers	thirdparty:opencl-headers
thirdparty	opencore-amr	thirdparty:opencore-amr
thirdparty	opengles	thirdparty:opengles
thirdparty	openhitls	thirdparty:openhitls
thirdparty	openmax	thirdparty:openmax
thirdparty	opensles	thirdparty:opensles
thirdparty	openssl	thirdparty:openssl
thirdparty	optimized_routines	thirdparty:optimized_routines
thirdparty	opus	thirdparty:opus
thirdparty	parse5	thirdparty:parse5
thirdparty	pcre2	thirdparty:pcre2
thirdparty	popt	thirdparty:popt
thirdparty	protobuf	thirdparty:protobuf
thirdparty	pulseaudio	thirdparty:pulseaudio
thirdparty	qrcodegen	thirdparty:qrcodegen
thirdparty	re2	thirdparty:re2
thirdparty	rust_bindgen	thirdparty:rust_bindgen
thirdparty	rust_cxx	thirdparty:rust_cxx
thirdparty	rust_libc	thirdparty:rust_libc
thirdparty	rust_rust-openssl	thirdparty:rust_rust-openssl
thirdparty	sane-airscan	thirdparty:sane-airscan
thirdparty	selinux	thirdparty:selinux
thirdparty	skia	thirdparty:skia
thirdparty	sonic	thirdparty:sonic
thirdparty	spirv-tools	thirdparty:spirv-tools
thirdparty	sqlite	thirdparty:sqlite
thirdparty	tex-hyphen	thirdparty:tex-hyphen
thirdparty	toybox	thirdparty:toybox
thirdparty	typescript	thirdparty:typescript
thirdparty	tzdata	thirdparty:tzdata
thirdparty	vixl	thirdparty:vixl
thirdparty	vk-gl-cts	thirdparty:vk-gl-cts
thirdparty	vma	thirdparty:vma
thirdparty	weex-loader	thirdparty:weex-loader
thirdparty	wpa_supplicant	thirdparty:wpa_supplicant
thirdparty	xmp_toolkit_sdk	thirdparty:xmp_toolkit_sdk
thirdparty	zlib	thirdparty:zlib
time	time_service	time:time_service
updater	sys_installer	updater:sys_installer
updater	update_service	updater:update_service
updater	updater	updater:updater
usb	usb_manager	usb:usb_manager
useriam	companion_device_auth	useriam:companion_device_auth
useriam	face_auth	useriam:face_auth
useriam	fingerprint_auth	useriam:fingerprint_auth
useriam	pin_auth	useriam:pin_auth
useriam	user_auth_framework	useriam:user_auth_framework
web	webview	web:webview
window	window_manager	window:window_manager
xts	acts	xts:acts
xts	dcts	xts:dcts
xts	device_attest	xts:device_attest
